id,age,gender,num_answers,in_person,typeOfQuestion,first_color,second_color,third_color,clicks,rating,C1_name,C2_name,distance_expectedC1C2,distance_HSV,distance_LCh,distance_CMYK,distance_RGB,distance_Lab
57112ebc85ba1,18,Female,32,no,objTwoColors,#FF00FF,10,225,128,5,Red      ,Blue     ,0.04,0.05,0.18,0.04,0.04,0.05
5711348e42f02,19,Female,32,no,objTwoColors,#FF00FF,7,218,276,4,Red      ,Blue     ,0.06,0.07,0.17,0.05,0.06,0.06
57113d4d93c81,18,Female,32,no,objTwoColors,#FF00FF,292,0,82,4,DK-Purple,Red      ,0.95,0.13,0.21,0.04,0.15,0.02
5711703bd85fc,18,Female,32,no,objTwoColors,#FF00FF,224,331,211,3,Blue     ,Magenta  ,0.94,0.15,0.18,0.09,0.11,0.16
57121540dbb98,18,Male,7,no,objTwoColors,#FF00FF,300,300,301,5,Pink     ,Pink     ,0.55,0.04,0.04,0.05,0.01,0.17
5712787a337a9,18,Female,7,no,objTwoColors,#FF00FF,0,0,0,1,Red      ,Red      ,0.55,0.33,0.08,0.15,0.31,0.2
5712a254e00f7,18,Female,18,no,objTwoColors,#FF00FF,0,325,78,3,Red      ,Magenta  ,0.35,0.26,0.14,0.09,0.24,0.12
572a7874c1e2e,19,Male,6,no,objTwoColors,#FF00FF,0,301,472,5,Red      ,Pink     ,0.19,0.17,0.16,0.06,0.17,0.04
5734e397122ce,19,Male,6,no,objTwoColors,#FF00FF,300,300,2351,5,Pink     ,Pink     ,0.55,0.04,0.04,0.05,0.01,0.17
5736048bb110b,19,Male,32,no,objTwoColors,#FF00FF,299,300,296,5,Pink     ,Pink     ,0.56,0.04,0.04,0.05,0.01,0.17
573634984323e,19,Male,32,no,objTwoColors,#FF00FF,303,310,247,4,Pink     ,Pink     ,0.59,0,0.04,0.04,0,0.13
57366c199283c,19,Male,32,no,objTwoColors,#FF00FF,0,300,76,5,Red      ,Pink     ,0.19,0.17,0.16,0.06,0.17,0.04
57427cf6bad0c,19,Female,32,no,objTwoColors,#FF00FF,285,0,99,2,Purple   ,Red      ,0.99,0.11,0.23,0.03,0.13,0.01
574511e99b6d9,19,Female,32,no,objTwoColors,#FF00FF,13,188,133,2,Red      ,Cyan     ,0.26,0.42,0.15,0.11,0.19,0.14
5745350dc1e22,19,Female,31,no,objTwoColors,#FF00FF,326,213,81,3,Magenta  ,Blue     ,0.26,0.18,0.08,0.1,0.12,0.17
5745c1c07cc0c,18,Other,31,no,objTwoColors,#FF00FF,322,196,120,4,Magenta  ,LI-Blue  ,0.4,0.21,0.05,0.13,0.11,0.16
5745f6f039dc9,15,Male,33,no,objTwoColors,#FF00FF,352,0,701,1,Red      ,Red      ,0.57,0.32,0.07,0.14,0.31,0.19
5745f6f039dc9,15,Male,33,no,objTwoColors,#FF00FF,0,0,0,3,Red      ,Red      ,0.55,0.33,0.08,0.15,0.31,0.2
5710cbc5f0ea4,23,Male,32,no,objTwoColors,#FF00FF,9,182,170,5,Red      ,Blue     ,0.28,0.41,0.14,0.1,0.2,0.15
5710cbe10cade,21,Male,15,no,objTwoColors,#FF00FF,300,300,268,5,Pink     ,Pink     ,0.55,0.04,0.04,0.05,0.01,0.17
5710cc5a7829c,27,Male,32,no,objTwoColors,#FF00FF,300,0,104,4,Pink     ,Red      ,0.91,0.17,0.19,0.06,0.17,0.04
5710cd99df604,23,Female,32,no,objTwoColors,#FF00FF,313,315,170,1,Pink     ,Pink     ,0.57,0.04,0.02,0.03,0.03,0.09
5710ce6c1308c,23,Female,32,no,objTwoColors,#FF00FF,300,0,582,2,Pink     ,Red      ,0.91,0.17,0.19,0.06,0.17,0.04
5710ceb320fdf,23,Male,15,no,objTwoColors,#FF00FF,297,293,280,5,Pink     ,DK-Purple,0.53,0.06,0.04,0.08,0.04,0.19
5710cf445718e,25,Male,32,no,objTwoColors,#FF00FF,234,48,110,1,Blue     ,Green    ,1.07,0.09,0.28,0.13,0.12,0.11
5710d140b7c5a,26,Male,32,no,objTwoColors,#FF00FF,313,0,150,5,Pink     ,Red      ,0.84,0.22,0.12,0.07,0.19,0.08
5710d71ff24c3,20,Female,32,no,objTwoColors,#FF00FF,14,282,104,5,Red      ,Purple   ,0.13,0.15,0.17,0.02,0.12,0.01
5710d8ca226a2,21,Male,4,no,objTwoColors,#FF00FF,0,300,615,2,Red      ,Pink     ,0.19,0.17,0.16,0.06,0.17,0.04
5710e60f69205,24,Female,31,no,objTwoColors,#FF00FF,5,0,558,3,Red      ,Red      ,0.56,0.32,0.09,0.15,0.31,0.2
5710ee3fd83e6,23,Male,7,no,objTwoColors,#FF00FF,329,104,9,1,Magenta  ,Green    ,0.72,0.3,0.04,0.1,0.23,0.2
5710ee55dcd72,23,Female,6,no,objTwoColors,#FF00FF,287,58,449,3,Purple   ,Green    ,0.94,0.31,0.22,0.11,0.15,0.11
5710ee9e58646,25,Female,32,yes,objTwoColors,#FF00FF,222,0,514,4,Blue     ,Red      ,1.08,0.08,0.22,0.04,0.03,0.05
571103343658b,20,Female,32,no,objTwoColors,#FF00FF,298,0,183,5,Pink     ,Red      ,0.92,0.16,0.2,0.06,0.17,0.03
57111f6c42412,22,Male,34,no,objTwoColors,#FF00FF,300,0,61,5,Pink     ,Red      ,0.91,0.17,0.19,0.06,0.17,0.04
5711231e370f2,24,Male,32,yes,objTwoColors,#FF00FF,0,302,584,3,Red      ,Pink     ,0.2,0.17,0.16,0.06,0.17,0.04
57112a657ac25,20,Female,24,no,objTwoColors,#FF00FF,309,0,55,3,Pink     ,Red      ,0.87,0.2,0.15,0.07,0.18,0.07
57112da850667,22,Female,47,no,objTwoColors,#FF00FF,258,341,175,3,Blue     ,Red      ,1.02,0.04,0.25,0.05,0.03,0.11
57112e8f42ab6,21,Female,6,no,objTwoColors,#FF00FF,203,11,168,3,Navy-Blue,Red      ,1.01,0.1,0.21,0.08,0.12,0.1
571130c5cd6e9,24,Female,32,no,objTwoColors,#FF00FF,207,331,199,4,Navy-Blue,Magenta  ,0.89,0.18,0.19,0.1,0.1,0.14
571130d934bda,22,Female,32,no,objTwoColors,#FF00FF,1,0,332,3,Red      ,Red      ,0.55,0.33,0.08,0.15,0.31,0.2
5711338142ff8,23,Male,5,no,objTwoColors,#FF00FF,0,0,0,3,Red      ,Red      ,0.55,0.33,0.08,0.15,0.31,0.2
571137a34931a,27,Female,25,no,objTwoColors,#FF00FF,6,0,211,2,Red      ,Red      ,0.56,0.32,0.09,0.14,0.31,0.2
57113a5534205,22,Male,31,no,objTwoColors,#FF00FF,9,176,412,1,Red      ,Blue     ,0.31,0.4,0.14,0.1,0.2,0.17
57113b7f16c4b,22,Male,31,no,objTwoColors,#FF00FF,9,219,639,4,Red      ,Blue     ,0.06,0.07,0.17,0.05,0.06,0.06
57113b9642c48,21,Female,9,no,objTwoColors,#FF00FF,39,268,246,5,Yellow   ,Blue     ,0.22,0.19,0.19,0.09,0.1,0.08
57113de4aed1a,21,Male,31,no,objTwoColors,#FF00FF,5,229,108,4,Red      ,Blue     ,0.02,0.05,0.18,0.04,0.03,0.05
57113e6176346,23,Female,30,no,objTwoColors,#FF00FF,0,332,212,3,Red      ,Magenta  ,0.41,0.28,0.12,0.1,0.26,0.14
57114ca79a200,21,Male,3,no,objTwoColors,#FF00FF,230,348,124,4,Blue     ,Red      ,1.07,0.09,0.25,0.04,0.07,0.09
57114f82eb4e8,21,Female,2,no,objTwoColors,#FF00FF,222,349,536,3,Blue     ,Red      ,1.05,0.11,0.21,0.04,0.06,0.08
571151812791a,20,Male,32,yes,objTwoColors,#FF00FF,5,230,58,3,Red      ,Blue     ,0.02,0.05,0.18,0.04,0.03,0.05
5711641931da5,20,Female,32,no,objTwoColors,#FF00FF,326,182,819,2,Magenta  ,Blue     ,0.45,0.22,0.05,0.11,0.12,0.16
57116b9b879bf,20,Male,32,no,objTwoColors,#FF00FF,314,293,457,3,Pink     ,DK-Purple,0.43,0.02,0.04,0.05,0.01,0.15
57119224388ef,24,Male,31,no,objTwoColors,#FF00FF,46,256,158,5,Green    ,Blue     ,0.23,0.17,0.2,0.12,0.1,0.1
5711ace2ee7ed,24,Male,32,no,objTwoColors,#FF00FF,1,2,34,4,Red      ,Red      ,0.55,0.33,0.09,0.15,0.31,0.2
5711cbde51bb0,24,Male,31,no,objTwoColors,#FF00FF,14,218,94,3,Red      ,Blue     ,0.08,0.06,0.17,0.06,0.08,0.06
571210e10d88b,23,Male,19,no,objTwoColors,#FF00FF,305,0,159,5,Pink     ,Red      ,0.89,0.19,0.17,0.06,0.17,0.05
571214121717c,22,Male,32,no,objTwoColors,#FF00FF,20,188,523,1,Red      ,Cyan     ,0.29,0.42,0.15,0.12,0.21,0.15
5712197fbccd5,24,Female,32,no,objTwoColors,#FF00FF,0,302,295,2,Red      ,Pink     ,0.2,0.17,0.16,0.06,0.17,0.04
57121e2a63601,21,Male,31,no,objTwoColors,#FF00FF,56,7,811,3,Green    ,Red      ,0.82,0.3,0.23,0.14,0.29,0.2
57122801e1da9,23,Male,17,no,objTwoColors,#FF00FF,283,0,558,3,Purple   ,Red      ,1,0.1,0.24,0.02,0.13,0.01
57122e814fb61,26,Male,4,no,objTwoColors,#FF00FF,323,0,25,2,Magenta  ,Red      ,0.77,0.26,0.07,0.09,0.23,0.11
57123bec83e8e,21,Male,32,no,objTwoColors,#FF00FF,177,354,394,2,Blue     ,Red      ,0.95,0.19,0.28,0.1,0.17,0.16
57123e4050550,20,Female,40,no,objTwoColors,#FF00FF,322,292,1187,2,Magenta  ,DK-Purple,0.37,0,0.06,0.04,0.01,0.12
571247f66fb51,27,Male,32,no,objTwoColors,#FF00FF,8,242,162,5,Red      ,Blue     ,0.02,0.01,0.18,0.04,0.03,0.05
571260c120253,22,Male,32,no,objTwoColors,#FF00FF,22,178,99,3,Red      ,Blue     ,0.35,0.42,0.14,0.12,0.24,0.18
5712649f2fada,26,Male,12,no,objTwoColors,#FF00FF,355,0,169,4,Red      ,Red      ,0.56,0.32,0.08,0.15,0.31,0.19
57127bcfaafb0,22,Female,32,no,objTwoColors,#FF00FF,7,212,182,3,Red      ,Blue     ,0.09,0.09,0.17,0.05,0.08,0.07
5712bd55a8a13,27,Female,32,no,objTwoColors,#FF00FF,9,216,179,3,Red      ,Blue     ,0.08,0.07,0.17,0.05,0.07,0.06
5712c2b021f58,22,Female,32,no,objTwoColors,#FF00FF,178,0,64,4,Blue     ,Red      ,0.96,0.4,0.28,0.1,0.18,0.16
5712c57f97f25,25,Female,31,no,objTwoColors,#FF00FF,265,333,61,3,Blue     ,Magenta  ,0.94,0.04,0.2,0.07,0.04,0.14
5713a02a13044,24,Female,32,yes,objTwoColors,#FF00FF,0,271,321,3,Red      ,Blue     ,0.05,0.05,0.18,0.01,0.09,0.02
5713acb331c3c,24,Female,7,no,objTwoColors,#FF00FF,244,357,145,1,Blue     ,Red      ,1.11,0.04,0.3,0.03,0.04,0.06
5713dd915ca28,24,Female,20,no,objTwoColors,#FF00FF,7,234,363,3,Red      ,Blue     ,0.01,0.04,0.18,0.04,0.03,0.05
5713fc80c942a,23,Female,32,no,objTwoColors,#FF00FF,184,326,337,5,Blue     ,Magenta  ,0.78,0.22,0.27,0.12,0.11,0.16
5715f69931d4c,23,Male,7,no,objTwoColors,#FF00FF,7,205,877,1,Red      ,Navy-Blue,0.13,0.11,0.16,0.07,0.1,0.09
572106a31c230,24,Male,16,no,objTwoColors,#FF00FF,191,33,389,3,Sky-Blue ,Orange   ,0.95,0.43,0.24,0.14,0.23,0.17
572767049ccfa,24,Male,32,yes,objTwoColors,#FF00FF,8,128,185,1,Red      ,Green    ,0.55,0.35,0.09,0.14,0.33,0.25
57277ba3c5a5c,20,Male,8,no,objTwoColors,#FF00FF,7,182,101,2,Red      ,Blue     ,0.27,0.41,0.14,0.1,0.19,0.15
572c85675a5ef,23,Male,32,yes,objTwoColors,#FF00FF,216,344,323,5,Blue     ,Red      ,1.02,0.13,0.19,0.06,0.07,0.1
5734918f46823,26,Male,32,no,objTwoColors,#FF00FF,15,207,148,3,Red      ,Navy-Blue,0.15,0.08,0.17,0.08,0.12,0.09
5735d3455a84c,29,Male,32,no,objTwoColors,#FF00FF,0,284,87,3,Red      ,Purple   ,0.11,0.1,0.17,0.03,0.13,0.01
5738cf3d97a58,23,Male,32,no,objTwoColors,#FF00FF,236,5,152,4,Blue     ,Red      ,1.11,0.04,0.29,0.03,0.03,0.05
573e4022949b1,24,Male,32,yes,objTwoColors,#FF00FF,0,299,109,5,Red      ,Pink     ,0.18,0.16,0.17,0.06,0.17,0.03
573e47c26cb8e,24,Male,32,yes,objTwoColors,#FF00FF,210,325,160,2,Blue     ,Magenta  ,0.85,0.18,0.18,0.11,0.12,0.17
573e4d0eb795b,24,Male,32,yes,objTwoColors,#FF00FF,307,0,75,4,Pink     ,Red      ,0.88,0.19,0.16,0.06,0.17,0.06
573ec4275ba17,24,Female,32,yes,objTwoColors,#FF00FF,322,273,439,3,Magenta  ,Blue     ,0.28,0.05,0.07,0.08,0.04,0.17
573edae85268b,27,Male,32,yes,objTwoColors,#FF00FF,11,273,166,4,Red      ,Blue     ,0.08,0.1,0.18,0.02,0.1,0.02
57410611290e3,22,Other,5,no,objTwoColors,#FF00FF,344,0,370,5,Red      ,Red      ,0.6,0.31,0.05,0.13,0.29,0.18
574121b9e952d,22,Female,5,no,objTwoColors,#FF00FF,189,11,222,3,Cyan     ,Red      ,0.97,0.42,0.25,0.11,0.18,0.14
574297edae49c,24,Male,32,no,objTwoColors,#FF00FF,12,236,89,4,Red      ,Blue     ,0.04,0.02,0.18,0.04,0.03,0.05
57451c3b38192,23,Female,32,no,objTwoColors,#FF00FF,0,300,221,5,Red      ,Pink     ,0.19,0.17,0.16,0.06,0.17,0.04
5745500f6e643,24,Female,32,no,objTwoColors,#FF00FF,224,333,80,3,Blue     ,Magenta  ,0.96,0.14,0.18,0.09,0.11,0.15
57459c393bbd0,29,Male,31,no,objTwoColors,#FF00FF,228,6,344,4,Blue     ,Red      ,1.1,0.05,0.26,0.04,0.03,0.05
5756ab1701ba0,21,Male,32,yes,objTwoColors,#FF00FF,2,322,85,5,Red      ,Magenta  ,0.33,0.26,0.14,0.09,0.23,0.11
5756ae6897296,21,Male,32,yes,objTwoColors,#FF00FF,231,280,344,4,Blue     ,Blue     ,0.64,0.22,0.4,0.21,0.2,0.31
5756b2d9bd658,23,Female,32,yes,objTwoColors,#FF00FF,293,0,557,2,DK-Purple,Red      ,0.95,0.14,0.21,0.04,0.15,0.02
5757fd2703090,22,Male,32,yes,objTwoColors,#FF00FF,300,0,232,2,Pink     ,Red      ,0.91,0.17,0.19,0.06,0.17,0.04
5757ffca0b4b1,24,Male,32,yes,objTwoColors,#FF00FF,302,0,107,3,Pink     ,Red      ,0.9,0.17,0.18,0.06,0.17,0.04
57581518c2c07,25,Male,32,yes,objTwoColors,#FF00FF,46,353,142,4,Green    ,Red      ,0.76,0.31,0.2,0.13,0.28,0.18
57582b17cd76a,26,Male,32,yes,objTwoColors,#FF00FF,19,189,90,1,Red      ,Cyan     ,0.28,0.42,0.15,0.12,0.2,0.15
5710d28fec2d1,30,Male,32,no,objTwoColors,#FF00FF,0,300,259,1,Red      ,Pink     ,0.19,0.17,0.16,0.06,0.17,0.04
5711106ab212a,33,Male,32,no,objTwoColors,#FF00FF,3,184,56,4,Red      ,Blue     ,0.25,0.16,0.14,0.1,0.17,0.14
5711148c11035,35,Male,22,no,objTwoColors,#FF00FF,300,0,10,3,Pink     ,Red      ,0.91,0.17,0.19,0.06,0.17,0.04
571153ca15566,32,Male,32,no,objTwoColors,#FF00FF,180,321,125,3,Blue     ,Pink     ,0.74,0.23,0.28,0.11,0.12,0.16
571252e6d2e70,31,Female,32,no,objTwoColors,#FF00FF,288,0,257,4,Navy-Blue,Red      ,0.97,0.12,0.22,0.03,0.14,0.01
57153eb9b4bed,35,Female,31,no,objTwoColors,#FF00FF,0,359,116,5,Red      ,Red      ,0.55,0.33,0.09,0.15,0.31,0.2
57190633f233f,30,Male,32,no,objTwoColors,#FF00FF,350,192,432,3,Red      ,Sky-Blue ,0.22,0.17,0.13,0.1,0.12,0.12
573a059da0efd,31,Female,32,yes,objTwoColors,#FF00FF,0,0,0,1,Red      ,Red      ,0.55,0.33,0.08,0.15,0.31,0.2
573c783748e8b,37,Female,32,yes,objTwoColors,#FF00FF,271,0,613,3,Blue     ,Red      ,1.05,0.05,0.26,0.01,0.09,0.02
5740a8b59d448,31,Female,32,yes,objTwoColors,#FF00FF,286,0,225,5,Purple   ,Red      ,0.98,0.11,0.23,0.03,0.14,0.01
5740b686127bb,32,Male,32,yes,objTwoColors,#FF00FF,321,204,264,3,Pink     ,Navy-Blue,0.36,0.2,0.06,0.12,0.12,0.17
5745b5cbe3caa,34,Female,32,no,objTwoColors,#FF00FF,5,0,312,3,Red      ,Red      ,0.56,0.32,0.09,0.15,0.31,0.2
574859b8f3379,30,Male,32,yes,objTwoColors,#FF00FF,280,332,1022,3,Blue     ,Magenta  ,0.87,0.01,0.16,0.05,0.01,0.11
57110028bc74b,48,Female,32,no,objTwoColors,#FF00FF,0,300,89,3,Red      ,Pink     ,0.19,0.17,0.16,0.06,0.17,0.04
57112d8509632,45,Female,32,no,objTwoColors,#FF00FF,300,0,669,4,Pink     ,Red      ,0.91,0.17,0.19,0.06,0.17,0.04
57114ae35c9ec,47,Female,11,no,objTwoColors,#FF00FF,0,300,518,3,Red      ,Pink     ,0.19,0.17,0.16,0.06,0.17,0.04
571154184c9bd,47,Female,32,no,objTwoColors,#FF00FF,310,0,22,1,Pink     ,Red      ,0.86,0.21,0.14,0.07,0.18,0.07
