id,age,gender,num_answers,in_person,typeOfQuestion,first_color,second_color,third_color,clicks,rating,C1_name,C2_name,distance_expectedC1C2,distance_HSV,distance_LCh,distance_CMYK,distance_RGB,distance_Lab,distance_pair1,distance_pair2,distance_pair3,distance_pair4,distance_pair5,distance_pair6
5710cbc5f0ea4,23,Male,32,no,objTwoColors,#0080FF,217,180,469,4,Blue     ,Blue     ,0.69,0.04,0.22,0.13,0.16,0.23,0.1,0.09,0.13,0.1,0.09,0.75
5710cbe10cade,21,Male,15,no,objTwoColors,#0080FF,226,210,133,4,Blue     ,Blue     ,0.71,0.07,0.33,0.19,0.28,0.33,0.25,0.26,0.21,0.25,0.26,0.61
5710cc5a7829c,27,Male,32,no,objTwoColors,#0080FF,209,0,85,4,NA       ,Red      ,0.78,0.09,0.24,0.07,0.12,0.1,0.49,0.47,0.46,0.49,0.47,0.97
5710cf445718e,25,Male,32,no,objTwoColors,#0080FF,0,235,41,5,Red      ,Blue     ,0.64,0.12,0.08,0.09,0.19,0.18,0.87,0.83,0.67,0.87,0.83,0.46
5710d140b7c5a,26,Male,32,no,objTwoColors,#0080FF,228,0,54,3,Blue     ,Red      ,0.86,0.11,0.35,0.09,0.18,0.17,0.4,0.43,0.53,0.4,0.43,1.06
5710d28fec2d1,30,Male,32,no,objTwoColors,#0080FF,0,200,328,1,Red      ,Navy-Blue,0.58,0.09,0.06,0.04,0.08,0.07,0.71,0.68,0.52,0.71,0.68,0.55
5710d87585247,31,Male,3,no,objTwoColors,#0080FF,48,98,251,2,Green    ,Green    ,0.59,0.4,0.23,0.12,0.19,0.16,0.74,0.7,0.74,0.74,0.7,0.71
5710dc97aac05,20,Male,6,no,objTwoColors,#0080FF,0,173,152,3,Red      ,Green    ,0.64,0.41,0.03,0.05,0.02,0.03,0.56,0.53,0.56,0.56,0.53,0.71
5710ea84d4c6f,25,Male,5,no,objTwoColors,#0080FF,226,0,87,5,Blue     ,Red      ,0.86,0.11,0.33,0.09,0.17,0.16,0.41,0.42,0.52,0.41,0.42,1.05
5711106ab212a,33,Male,32,no,objTwoColors,#0080FF,234,0,174,5,Blue     ,Red      ,0.88,0.12,0.38,0.09,0.19,0.18,0.39,0.43,0.54,0.39,0.43,1.07
5711148c11035,35,Male,22,no,objTwoColors,#0080FF,181,321,188,3,Blue     ,Pink     ,0.37,0.12,0.3,0.06,0.15,0.12,0.51,0.48,0.38,0.51,0.48,0.57
57111f6c42412,22,Male,34,no,objTwoColors,#0080FF,203,0,90,5,Navy-Blue,Red      ,0.74,0.09,0.23,0.05,0.1,0.08,0.52,0.5,0.47,0.52,0.5,0.93
5711231e370f2,24,Male,32,yes,objTwoColors,#0080FF,0,194,88,4,Red      ,Sky-Blue ,0.58,0.09,0.05,0.03,0.06,0.05,0.68,0.64,0.48,0.68,0.64,0.59
57112cec29456,26,Male,11,no,objTwoColors,#0080FF,209,208,260,5,NA       ,NA       ,0.63,0.02,0.21,0.17,0.22,0.29,0.31,0.29,0.14,0.31,0.29,0.54
57112d73dfafe,25,Male,5,no,objTwoColors,#0080FF,312,178,292,2,Pink     ,Blue     ,0.61,0.13,0.14,0.06,0.18,0.14,0.29,0.26,0.25,0.29,0.26,0.68
57112edad4a17,23,Male,10,no,objTwoColors,#0080FF,204,0,67,4,Navy-Blue,Red      ,0.75,0.09,0.23,0.05,0.1,0.08,0.52,0.49,0.47,0.52,0.49,0.94
57113a5534205,22,Male,31,no,objTwoColors,#0080FF,236,0,135,5,Blue     ,Red      ,0.88,0.12,0.39,0.09,0.19,0.18,0.4,0.44,0.54,0.4,0.44,1.07
