id;typeOfQuestion;first_color;second_color;third_color;clicks;page_time;rating;resets;id_question
5713b10383207;objTwoColors;#FFFF00;224;106;307;26;4;0;1
572baa7f9493c;objTwoColors;#FFFF00;64;0;395;36;3;0;1
57122f7e5768f;objTwoColors;#FFFF00;60;0;952;61;5;0;1
571153ca15566;objTwoColors;#FFFF00;51;0;1184;130;1;0;1
5745500f6e643;objTwoColors;#FFFF00;48;0;263;17;3;0;1
57113e6176346;objTwoColors;#FFFF00;0;57;439;32;1;0;1
5711ace2ee7ed;objTwoColors;#FFFF00;55;57;71;15;5;0;1
57190633f233f;objTwoColors;#FFFF00;8;221;276;44;3;0;1
571137cd27765;objTwoColors;#FFFF00;245;116;567;32;4;0;1
5745c1c07cc0c;objTwoColors;#FFFF00;56;59;106;17;5;0;1
5710ee55dcd72;objTwoColors;#FFFF00;136;6;214;36;5;0;1
57112a657ac25;objTwoColors;#FFFF00;56;0;233;17;3;0;1
5734918f46823;objTwoColors;#FFFF00;1;0;41;12;3;0;1
57121e2a63601;objTwoColors;#FFFF00;53;55;278;24;5;0;1
574297edae49c;objTwoColors;#FFFF00;2;128;454;28;1;0;1
571137a34931a;objTwoColors;#FFFF00;50;0;73;8;2;0;1
5712197fbccd5;objTwoColors;#FFFF00;3;61;440;42;1;0;1
57121540dbb98;objTwoColors;#FFFF00;56;57;1068;62;5;0;1
5745350dc1e22;objTwoColors;#FFFF00;57;56;316;23;5;0;1
5713ad43312ab;objTwoColors;#FFFF00;357;0;437;30;3;0;1
571214121717c;objTwoColors;#FFFF00;50;0;59;24;1;0;1
5711106ab212a;objTwoColors;#FFFF00;43;0;29;14;5;0;1
574511e99b6d9;objTwoColors;#FFFF00;29;0;49;7;3;0;1
5710cc5a7829c;objTwoColors;#FFFF00;59;0;47;8;5;0;1
5710cf445718e;objTwoColors;#FFFF00;0;53;47;6;5;0;1
5711cbde51bb0;objTwoColors;#FFFF00;50;53;52;6;5;0;1
571165992a5c1;objTwoColors;#FFFF00;57;50;452;101;3;0;1
57113d9cc42b5;objTwoColors;#FFFF00;51;0;36;4;5;0;1
5711e54c50f6b;objTwoColors;#FFFF00;52;0;314;38;4;0;1
57451c3b38192;objTwoColors;#FFFF00;0;59;53;10;5;0;1
5713aa57bebec;objTwoColors;#FFFF00;0;67;377;30;3;0;1
5713923c1bbc7;objTwoColors;#FFFF00;3;38;177;24;5;0;1
57112d8509632;objTwoColors;#FFFF00;56;55;87;11;5;0;1
5711641931da5;objTwoColors;#FFFF00;62;0;134;15;5;0;1
57112edad4a17;objTwoColors;#FFFF00;29;0;29;7;2;0;1
5713fc80c942a;objTwoColors;#FFFF00;58;59;308;23;5;0;1
57112fc882a10;objTwoColors;#FFFF00;40;0;307;32;3;0;1
572106a31c230;objTwoColors;#FFFF00;27;95;377;26;3;0;1
5734aa4c927a8;objTwoColors;#FFFF00;56;59;605;56;1;1;1
5711148c11035;objTwoColors;#FFFF00;3;0;512;91;3;0;1
57110028bc74b;objTwoColors;#FFFF00;0;59;92;13;3;0;1
5712c57f97f25;objTwoColors;#FFFF00;59;59;160;39;4;0;1
5710e60f69205;objTwoColors;#FFFF00;52;0;217;23;4;0;1
5734d89183dab;objTwoColors;#FFFF00;58;55;88;14;4;0;1
571154184c9bd;objTwoColors;#FFFF00;53;0;105;19;5;0;1
57114ca79a200;objTwoColors;#FFFF00;352;114;318;24;4;0;1
5711703bd85fc;objTwoColors;#FFFF00;7;96;165;18;2;0;1
571103343658b;objTwoColors;#FFFF00;61;58;127;15;5;0;1
5734e848ad81a;objTwoColors;#FFFF00;57;57;125;16;5;0;1
5712c2b021f58;objTwoColors;#FFFF00;0;59;319;26;5;0;1
5745b5cbe3caa;objTwoColors;#FFFF00;56;57;438;34;3;0;1
5735d3455a84c;objTwoColors;#FFFF00;52;54;74;8;5;0;1
5745f6f039dc9;objTwoColors;#FFFF00;69;350;40;5;1;0;1
5712bd55a8a13;objTwoColors;#FFFF00;0;59;96;9;5;0;1
5710e540a9514;objTwoColors;#FFFF00;10;111;191;41;4;0;1
57112da850667;objTwoColors;#FFFF00;66;59;197;17;5;0;1
571153e3025f9;objTwoColors;#FFFF00;3;0;480;31;3;0;1
5736048bb110b;objTwoColors;#FFFF00;59;52;133;6;5;0;1
5711760a3dfe0;objTwoColors;#FFFF00;44;0;105;13;5;0;1
57142079d871e;objTwoColors;#FFFF00;50;129;340;42;4;1;1
5711405eb4abb;objTwoColors;#FFFF00;53;0;66;15;5;0;1
57116ce8cf9e5;objTwoColors;#FFFF00;0;52;213;13;4;0;1
57117fe7495aa;objTwoColors;#FFFF00;0;54;101;16;5;0;1
57113d4d93c81;objTwoColors;#FFFF00;50;0;35;6;4;0;1
5713dd915ca28;objTwoColors;#FFFF00;0;43;88;15;1;0;1
57112ebc85ba1;objTwoColors;#FFFF00;57;54;93;9;1;0;1
573634984323e;objTwoColors;#FFFF00;59;59;699;37;5;0;1
57127bcfaafb0;objTwoColors;#FFFF00;56;58;141;7;5;0;1
57113163e6fb1;objTwoColors;#FFFF00;245;141;583;28;3;0;1
57127cb3ab1fe;objTwoColors;#FFFF00;61;0;220;21;5;0;1
5710d71ff24c3;objTwoColors;#FFFF00;0;0;180;10;1;0;1
5710cd99df604;objTwoColors;#FFFF00;60;0;149;8;4;0;1
57113de4aed1a;objTwoColors;#FFFF00;89;182;170;7;4;0;1
571130c5cd6e9;objTwoColors;#FFFF00;56;55;352;65;4;0;1
5712649f2fada;objTwoColors;#FFFF00;56;0;149;28;4;0;1
571260c120253;objTwoColors;#FFFF00;56;59;95;12;1;0;1
5716e9900f6ea;objTwoColors;#FFFF00;119;359;312;153;3;0;1
5711800f2c5f3;objTwoColors;#FFFF00;46;66;427;97;1;0;1
571130d934bda;objTwoColors;#FFFF00;59;0;233;24;4;0;1
573664e1a4a96;objTwoColors;#FFFF00;57;57;216;43;1;0;1
571410751e7b0;objTwoColors;#FFFF00;348;90;192;24;2;0;1
5710cc2b8a642;objTwoColors;#FFFF00;90;10;121;54;4;0;1
571183866d73f;objTwoColors;#FFFF00;56;0;83;377;4;0;1
57112b9e10661;objTwoColors;#FFFF00;213;96;102;12;2;0;1
571252e6d2e70;objTwoColors;#FFFF00;42;0;137;27;5;0;1
5714c6c26c2f6;objTwoColors;#FFFF00;58;55;146;20;5;0;1
5710ce6c1308c;objTwoColors;#FFFF00;59;55;96;43;5;0;1
57366c199283c;objTwoColors;#FFFF00;115;233;126;15;5;0;1
571247f66fb51;objTwoColors;#FFFF00;7;130;180;13;5;0;1
5710d28fec2d1;objTwoColors;#FFFF00;0;210;336;22;1;0;1
5727633cd6511;objTwoColors;#FFFF00;0;59;432;26;5;0;1
5711348e42f02;objTwoColors;#FFFF00;46;0;504;67;3;0;1
57112cec29456;objTwoColors;#FFFF00;113;11;416;62;5;0;1
5738cf3d97a58;objTwoColors;#FFFF00;3;120;272;48;4;0;1
57123e4050550;objTwoColors;#FFFF00;48;0;553;58;3;0;1
57116b9b879bf;objTwoColors;#FFFF00;53;18;138;11;3;0;1
5710d140b7c5a;objTwoColors;#FFFF00;46;0;102;5;3;0;1
57119224388ef;objTwoColors;#FFFF00;207;106;223;12;5;0;1
57427cf6bad0c;objTwoColors;#FFFF00;62;0;188;34;2;0;1
5713b961c216a;objTwoColors;#FFFF00;0;0;0;1;5;0;1
57123bec83e8e;objTwoColors;#FFFF00;1;25;712;36;3;0;1
5727f6d19e901;objTwoColors;#FFFF00;0;38;301;30;3;0;1
57111f6c42412;objTwoColors;#FFFF00;57;0;343;19;5;0;1
5745b5cbe3caa;objTwoColors;#FF00FF;5;0;312;25;3;0;2
57111f6c42412;objTwoColors;#FF00FF;300;0;61;5;5;0;2
57190633f233f;objTwoColors;#FF00FF;350;192;432;34;3;0;2
5716e9900f6ea;objTwoColors;#FF00FF;12;235;217;37;3;0;2
5745f6f039dc9;objTwoColors;#FF00FF;0;0;0;0;3;0;2
5711106ab212a;objTwoColors;#FF00FF;3;184;56;5;4;0;2
571534076a966;objTwoColors;#FF00FF;9;255;413;34;3;0;2
5715f69931d4c;objTwoColors;#FF00FF;7;205;877;102;1;0;2
57153d9a56ce0;objTwoColors;#FF00FF;0;300;149;12;5;0;2
5711148c11035;objTwoColors;#FF00FF;300;0;10;10;3;0;2
57153eb9b4bed;objTwoColors;#FF00FF;0;359;116;6;5;0;2
57114ca79a200;objTwoColors;#FF00FF;230;348;124;9;4;0;2
5711703bd85fc;objTwoColors;#FF00FF;224;331;211;27;3;0;2
5711800f2c5f3;objTwoColors;#FF00FF;282;181;329;80;3;0;2
57459c393bbd0;objTwoColors;#FF00FF;228;6;344;15;4;0;2
57113d4d93c81;objTwoColors;#FF00FF;292;0;82;13;4;0;2
571183866d73f;objTwoColors;#FF00FF;3;0;42;25;5;0;2
57113de4aed1a;objTwoColors;#FF00FF;5;229;108;7;4;0;2
5710cd99df604;objTwoColors;#FF00FF;313;315;170;8;1;0;2
57119224388ef;objTwoColors;#FF00FF;46;256;158;9;5;0;2
5745c1c07cc0c;objTwoColors;#FF00FF;322;196;120;20;4;0;2
5745500f6e643;objTwoColors;#FF00FF;224;333;80;11;3;0;2
5710cbe10cade;objTwoColors;#FF00FF;300;300;268;9;5;0;2
5711ace2ee7ed;objTwoColors;#FF00FF;1;2;34;10;4;0;2
5710cc5a7829c;objTwoColors;#FF00FF;300;0;104;11;4;0;2
5745350dc1e22;objTwoColors;#FF00FF;326;213;81;6;3;0;2
5710ceb320fdf;objTwoColors;#FF00FF;297;293;280;25;5;0;2
57113e6176346;objTwoColors;#FF00FF;0;332;212;12;3;0;2
5711cbde51bb0;objTwoColors;#FF00FF;14;218;94;11;3;0;2
5711f4ec96b9c;objTwoColors;#FF00FF;305;300;323;23;1;0;2
57451c3b38192;objTwoColors;#FF00FF;0;300;221;13;5;0;2
574511e99b6d9;objTwoColors;#FF00FF;13;188;133;14;2;0;2
571210e10d88b;objTwoColors;#FF00FF;305;0;159;49;5;0;2
571214121717c;objTwoColors;#FF00FF;20;188;523;28;1;0;2
57116b9b879bf;objTwoColors;#FF00FF;314;293;457;47;3;0;2
57121540dbb98;objTwoColors;#FF00FF;300;300;301;17;5;0;2
57113b9642c48;objTwoColors;#FF00FF;39;268;246;20;5;0;2
5712197fbccd5;objTwoColors;#FF00FF;0;302;295;20;2;0;2
57121e2a63601;objTwoColors;#FF00FF;56;7;811;57;3;0;2
574297edae49c;objTwoColors;#FF00FF;12;236;89;14;4;0;2
571137a34931a;objTwoColors;#FF00FF;6;0;211;15;2;0;2
57122801e1da9;objTwoColors;#FF00FF;283;0;558;27;3;0;2
5710cf445718e;objTwoColors;#FF00FF;234;48;110;8;1;0;2
57427cf6bad0c;objTwoColors;#FF00FF;285;0;99;14;2;0;2
5711641931da5;objTwoColors;#FF00FF;326;182;819;59;2;0;2
57122e814fb61;objTwoColors;#FF00FF;323;0;25;95;2;0;2
57123bec83e8e;objTwoColors;#FF00FF;177;354;394;24;2;0;2
5711348e42f02;objTwoColors;#FF00FF;7;218;276;18;4;0;2
574121b9e952d;objTwoColors;#FF00FF;189;11;222;25;3;0;2
5710d140b7c5a;objTwoColors;#FF00FF;313;0;150;6;5;0;2
57410611290e3;objTwoColors;#FF00FF;344;0;370;30;5;0;2
5711338142ff8;objTwoColors;#FF00FF;0;0;0;8;3;0;2
57123e4050550;objTwoColors;#FF00FF;322;292;1187;95;2;0;2
5738cf3d97a58;objTwoColors;#FF00FF;236;5;152;11;4;0;2
571130d934bda;objTwoColors;#FF00FF;1;0;332;33;3;0;2
5710d28fec2d1;objTwoColors;#FF00FF;0;300;259;17;1;0;2
5745f6f039dc9;objTwoColors;#FF00FF;352;0;701;73;1;0;2
571153ca15566;objTwoColors;#FF00FF;180;321;125;20;3;0;2
571130c5cd6e9;objTwoColors;#FF00FF;207;331;199;29;4;0;2
57366c199283c;objTwoColors;#FF00FF;0;300;76;13;5;0;2
5710ce6c1308c;objTwoColors;#FF00FF;300;0;582;237;2;0;2
571247f66fb51;objTwoColors;#FF00FF;8;242;162;12;5;0;2
573664e1a4a96;objTwoColors;#FF00FF;300;300;152;18;1;0;2
571252e6d2e70;objTwoColors;#FF00FF;288;0;257;34;4;0;2
571165992a5c1;objTwoColors;#FF00FF;334;273;259;29;3;0;2
5710d8ca226a2;objTwoColors;#FF00FF;0;300;615;27;2;0;2
571260c120253;objTwoColors;#FF00FF;22;178;99;12;3;0;2
57112da850667;objTwoColors;#FF00FF;258;341;175;17;3;0;2
5712649f2fada;objTwoColors;#FF00FF;355;0;169;19;4;0;2
