id,age,gender,num_answers,in_person,typeOfQuestion,first_color,second_color,third_color,clicks,page_time,rating,resets,id_question
57427cf6bad0c,19,Female,32,no,objTwoColors,#FFFF00,62,0,188,34,2,0,1
5745f6f039dc9,15,Male,33,no,objTwoColors,#FFFF00,69,350,40,5,1,0,1
5745c1c07cc0c,18,Other,31,no,objTwoColors,#FFFF00,56,59,106,17,5,0,1
57112fc882a10,18,Male,3,no,objTwoColors,#FFFF00,40,0,307,32,3,0,1
57127cb3ab1fe,1,Male,12,no,objTwoColors,#FFFF00,61,0,220,21,5,0,1
5736048bb110b,19,Male,32,no,objTwoColors,#FFFF00,59,52,133,6,5,0,1
57121540dbb98,18,Male,7,no,objTwoColors,#FFFF00,56,57,1068,62,5,0,1
5711e54c50f6b,19,Male,4,no,objTwoColors,#FFFF00,52,0,314,38,4,0,1
57112ebc85ba1,18,Female,32,no,objTwoColors,#FFFF00,57,54,93,9,1,0,1
573634984323e,19,Male,32,no,objTwoColors,#FFFF00,59,59,699,37,5,0,1
5711348e42f02,19,Female,32,no,objTwoColors,#FFFF00,46,0,504,67,3,0,1
5745350dc1e22,19,Female,31,no,objTwoColors,#FFFF00,57,56,316,23,5,0,1
5734d89183dab,19,Female,29,no,objTwoColors,#FFFF00,58,55,88,14,4,0,1
5711703bd85fc,18,Female,32,no,objTwoColors,#FFFF00,7,96,165,18,2,0,1
57366c199283c,19,Male,32,no,objTwoColors,#FFFF00,115,233,126,15,5,0,1
5711405eb4abb,18,Male,5,no,objTwoColors,#FFFF00,53,0,66,15,5,0,1
57113d4d93c81,18,Female,32,no,objTwoColors,#FFFF00,50,0,35,6,4,0,1
574511e99b6d9,19,Female,32,no,objTwoColors,#FFFF00,29,0,49,7,3,0,1
5727f6d19e901,19,Female,5,no,objTwoColors,#FFFF00,0,38,301,30,3,0,1
571137cd27765,18,Female,8,no,objTwoColors,#FFFF00,245,116,567,32,4,0,1
5745f6f039dc9,15,Male,33,no,objTwoColors,#FF00FF,352,0,701,73,1,0,2
57366c199283c,19,Male,32,no,objTwoColors,#FF00FF,0,300,76,13,5,0,2
5745c1c07cc0c,18,Other,31,no,objTwoColors,#FF00FF,322,196,120,20,4,0,2
5736048bb110b,19,Male,32,no,objTwoColors,#FF00FF,299,300,296,15,5,0,2
574511e99b6d9,19,Female,32,no,objTwoColors,#FF00FF,13,188,133,14,2,0,2
5712787a337a9,18,Female,7,no,objTwoColors,#FF00FF,0,0,0,2,1,0,2
57121540dbb98,18,Male,7,no,objTwoColors,#FF00FF,300,300,301,17,5,0,2
5745350dc1e22,19,Female,31,no,objTwoColors,#FF00FF,326,213,81,6,3,0,2
57112ebc85ba1,18,Female,32,no,objTwoColors,#FF00FF,10,225,128,11,5,0,2
5711703bd85fc,18,Female,32,no,objTwoColors,#FF00FF,224,331,211,27,3,0,2
57113d4d93c81,18,Female,32,no,objTwoColors,#FF00FF,292,0,82,13,4,0,2
573634984323e,19,Male,32,no,objTwoColors,#FF00FF,303,310,247,19,4,0,2
57427cf6bad0c,19,Female,32,no,objTwoColors,#FF00FF,285,0,99,14,2,0,2
5745f6f039dc9,15,Male,33,no,objTwoColors,#FF00FF,0,0,0,0,3,0,2
5734e397122ce,19,Male,6,no,objTwoColors,#FF00FF,300,300,2351,31,5,0,2
5711348e42f02,19,Female,32,no,objTwoColors,#FF00FF,7,218,276,18,4,0,2
5712a254e00f7,18,Female,18,no,objTwoColors,#FF00FF,0,325,78,4,3,0,2
572a7874c1e2e,19,Male,6,no,objTwoColors,#FF00FF,0,301,472,27,5,0,2
57366c199283c,19,Male,32,no,objTwoColors,#80FF00,59,173,245,16,3,0,3
573634984323e,19,Male,32,no,objTwoColors,#80FF00,62,127,45,10,4,0,3
5734d89183dab,19,Female,29,no,objTwoColors,#80FF00,58,189,78,14,4,0,3
5736048bb110b,19,Male,32,no,objTwoColors,#80FF00,90,80,195,7,5,0,3
5711703bd85fc,18,Female,32,no,objTwoColors,#80FF00,56,229,211,20,5,0,3
57112ebc85ba1,18,Female,32,no,objTwoColors,#80FF00,177,63,223,13,5,0,3
5745c1c07cc0c,18,Other,31,no,objTwoColors,#80FF00,199,59,162,17,4,0,3
5745350dc1e22,19,Female,31,no,objTwoColors,#80FF00,59,183,115,16,5,0,3
57427cf6bad0c,19,Female,32,no,objTwoColors,#80FF00,101,103,572,36,1,0,3
574511e99b6d9,19,Female,32,no,objTwoColors,#80FF00,191,58,307,22,4,0,3
5745f6f039dc9,15,Male,33,no,objTwoColors,#80FF00,0,0,0,1,4,0,3
5711348e42f02,19,Female,32,no,objTwoColors,#80FF00,123,55,295,15,4,0,3
57113d4d93c81,18,Female,32,no,objTwoColors,#80FF00,140,57,159,10,4,0,3
5734d89183dab,19,Female,29,no,objTwoColors,#7f00ff,233,318,115,13,4,0,4
57427cf6bad0c,19,Female,32,no,objTwoColors,#7f00ff,201,334,316,20,3,0,4
573613f4689a3,18,Male,7,no,objTwoColors,#7f00ff,269,270,306,23,3,0,4
57366c199283c,19,Male,32,no,objTwoColors,#7f00ff,330,267,104,11,1,0,4
57112ebc85ba1,18,Female,32,no,objTwoColors,#7f00ff,7,229,100,8,5,0,4
57112e639a100,18,Male,5,no,objTwoColors,#7f00ff,195,9,582,63,5,1,4
573634984323e,19,Male,32,no,objTwoColors,#7f00ff,3,239,190,25,4,0,4
574511e99b6d9,19,Female,32,no,objTwoColors,#7f00ff,213,2,108,12,2,0,4
5745f6f039dc9,15,Male,33,no,objTwoColors,#7f00ff,237,0,638,16,1,0,4
5745350dc1e22,19,Female,31,no,objTwoColors,#7f00ff,226,331,168,11,4,0,4
