id,typeOfQuestion,first_color,second_color,third_color,clicks,page_time,rating,resets,id_question
5740b0f8e9734,objTwoColors,#FFFF00,72,0,358,51,5,0,1
573edae85268b,objTwoColors,#FFFF00,58,97,245,18,5,0,1
5711231e370f2,objTwoColors,#FFFF00,0,58,390,41,3,0,1
5740b686127bb,objTwoColors,#FFFF00,51,65,829,101,2,0,1
5757fd2703090,objTwoColors,#FFFF00,58,0,21,4,5,0,1
5740bda9be3dc,objTwoColors,#FFFF00,74,88,325,30,5,0,1
574859b8f3379,objTwoColors,#FFFF00,1,124,245,26,4,0,1
573c70dabcfe0,objTwoColors,#FFFF00,70,0,710,60,2,0,1
573a059da0efd,objTwoColors,#FFFF00,199,49,84,13,5,0,1
5756ab1701ba0,objTwoColors,#FFFF00,188,140,190,13,5,0,1
573e47c26cb8e,objTwoColors,#FFFF00,52,156,108,26,2,0,1
5756ae6897296,objTwoColors,#FFFF00,1,25,25,8,5,0,1
572767049ccfa,objTwoColors,#FFFF00,179,58,124,20,3,0,1
573c783748e8b,objTwoColors,#FFFF00,55,57,77,18,3,0,1
5757ffca0b4b1,objTwoColors,#FFFF00,57,0,28,19,5,0,1
573e4022949b1,objTwoColors,#FFFF00,71,0,130,9,5,0,1
5756b2d9bd658,objTwoColors,#FFFF00,59,95,228,28,5,0,1
5740a8b59d448,objTwoColors,#FFFF00,152,57,912,72,2,0,1
5739ff85289b2,objTwoColors,#FFFF00,50,196,6,17,2,0,1
5710ee9e58646,objTwoColors,#FFFF00,5,124,159,11,3,0,1
5713a02a13044,objTwoColors,#FFFF00,1,52,85,13,4,0,1
57582b17cd76a,objTwoColors,#FFFF00,44,0,44,25,4,0,1
573a0b8280839,objTwoColors,#FFFF00,0,40,38,9,3,0,1
5740ad339507d,objTwoColors,#FFFF00,55,0,38,10,3,0,1
57581518c2c07,objTwoColors,#FFFF00,178,162,86,8,2,0,1
5740e3f36a945,objTwoColors,#FFFF00,76,0,139,26,2,0,1
573e4d0eb795b,objTwoColors,#FFFF00,239,121,157,23,4,0,1
572c85675a5ef,objTwoColors,#FFFF00,346,101,1209,97,3,0,1
571151812791a,objTwoColors,#FFFF00,229,113,243,14,4,0,1
574859b8f3379,objTwoColors,#FF00FF,280,332,1022,85,3,0,2
573a059da0efd,objTwoColors,#FF00FF,0,0,0,15,1,0,2
57581518c2c07,objTwoColors,#FF00FF,46,353,142,20,4,0,2
573e4022949b1,objTwoColors,#FF00FF,0,299,109,16,5,0,2
5740ad339507d,objTwoColors,#FF00FF,10,54,67,11,3,0,2
5756ae6897296,objTwoColors,#FF00FF,231,280,344,29,4,0,2
5740b0f8e9734,objTwoColors,#FF00FF,300,0,514,56,5,0,2
5756ab1701ba0,objTwoColors,#FF00FF,2,322,85,9,5,0,2
5713a02a13044,objTwoColors,#FF00FF,0,271,321,58,3,0,2
573e47c26cb8e,objTwoColors,#FF00FF,210,325,160,28,2,0,2
573e4d0eb795b,objTwoColors,#FF00FF,307,0,75,11,4,0,2
5756b2d9bd658,objTwoColors,#FF00FF,293,0,557,59,2,0,2
5740b686127bb,objTwoColors,#FF00FF,321,204,264,29,3,0,2
572767049ccfa,objTwoColors,#FF00FF,8,128,185,61,1,0,2
5757ffca0b4b1,objTwoColors,#FF00FF,302,0,107,16,3,0,2
5740bda9be3dc,objTwoColors,#FF00FF,321,316,675,116,5,0,2
5711231e370f2,objTwoColors,#FF00FF,0,302,584,20,3,0,2
573c70dabcfe0,objTwoColors,#FF00FF,179,73,134,21,3,0,2
572c85675a5ef,objTwoColors,#FF00FF,216,344,323,40,5,0,2
5740e3f36a945,objTwoColors,#FF00FF,301,0,320,66,2,0,2
5757fd2703090,objTwoColors,#FF00FF,300,0,232,10,2,0,2
5739ff85289b2,objTwoColors,#FF00FF,305,196,10,45,1,0,2
5710ee9e58646,objTwoColors,#FF00FF,222,0,514,43,4,0,2
571151812791a,objTwoColors,#FF00FF,5,230,58,37,3,0,2
573c783748e8b,objTwoColors,#FF00FF,271,0,613,50,3,0,2
573edae85268b,objTwoColors,#FF00FF,11,273,166,12,4,0,2
57582b17cd76a,objTwoColors,#FF00FF,19,189,90,85,1,0,2
5740a8b59d448,objTwoColors,#FF00FF,286,0,225,21,5,0,2
57581518c2c07,objTwoColors,#80FF00,227,56,95,9,5,0,3
5740ad339507d,objTwoColors,#80FF00,218,58,116,10,4,0,3
573c70dabcfe0,objTwoColors,#80FF00,59,231,305,32,2,0,3
5711231e370f2,objTwoColors,#80FF00,0,145,275,9,4,0,3
5739ff85289b2,objTwoColors,#80FF00,333,33,137,54,1,0,3
5740b0f8e9734,objTwoColors,#80FF00,136,0,330,64,4,0,3
573e4022949b1,objTwoColors,#80FF00,128,0,115,10,5,0,3
573a0b8280839,objTwoColors,#80FF00,164,54,144,27,3,0,3
5756ab1701ba0,objTwoColors,#80FF00,58,211,142,19,5,0,3
573a059da0efd,objTwoColors,#80FF00,195,65,180,23,5,0,3
5740bda9be3dc,objTwoColors,#80FF00,57,186,105,15,5,0,3
571151812791a,objTwoColors,#80FF00,192,47,76,17,3,0,3
573c783748e8b,objTwoColors,#80FF00,99,110,954,119,4,1,3
5710ee9e58646,objTwoColors,#80FF00,56,198,110,9,4,0,3
5756b2d9bd658,objTwoColors,#80FF00,57,201,83,14,5,0,3
5756ae6897296,objTwoColors,#80FF00,54,164,350,27,4,0,3
5740b686127bb,objTwoColors,#80FF00,59,147,180,15,4,0,3
573edae85268b,objTwoColors,#80FF00,235,59,162,19,4,0,3
573e47c26cb8e,objTwoColors,#80FF00,58,249,206,17,3,0,3
5713a02a13044,objTwoColors,#80FF00,113,0,195,10,4,0,3
572767049ccfa,objTwoColors,#80FF00,5,227,103,17,4,0,3
573e4d0eb795b,objTwoColors,#80FF00,58,236,88,19,5,0,3
5757fd2703090,objTwoColors,#80FF00,86,0,172,9,5,0,3
5740e3f36a945,objTwoColors,#80FF00,97,0,154,19,2,0,3
5757ffca0b4b1,objTwoColors,#80FF00,129,0,97,12,3,0,3
572c85675a5ef,objTwoColors,#80FF00,94,97,223,24,5,0,3
574859b8f3379,objTwoColors,#80FF00,195,52,105,11,4,0,3
5740a8b59d448,objTwoColors,#80FF00,59,186,100,12,5,0,3
57582b17cd76a,objTwoColors,#80FF00,58,179,64,31,3,0,3
57582b17cd76a,objTwoColors,#7f00ff,5,232,54,11,3,0,4
572767049ccfa,objTwoColors,#7f00ff,256,319,380,23,1,0,4
5740bda9be3dc,objTwoColors,#7f00ff,318,210,380,78,5,0,4
5710ee9e58646,objTwoColors,#7f00ff,326,202,267,40,4,0,4
573c783748e8b,objTwoColors,#7f00ff,351,212,383,53,3,0,4
57581518c2c07,objTwoColors,#7f00ff,176,323,120,15,4,0,4
573e4d0eb795b,objTwoColors,#7f00ff,275,0,82,26,4,0,4
5757ffca0b4b1,objTwoColors,#7f00ff,202,352,120,18,4,0,4
5711231e370f2,objTwoColors,#7f00ff,0,290,276,31,4,0,4
573e4022949b1,objTwoColors,#7f00ff,280,0,76,10,5,0,4
573c70dabcfe0,objTwoColors,#7f00ff,230,118,199,20,3,0,4
5757fd2703090,objTwoColors,#7f00ff,271,0,175,11,4,0,4
573a0b8280839,objTwoColors,#7f00ff,173,346,597,58,3,0,4
5756b2d9bd658,objTwoColors,#7f00ff,200,303,186,22,5,0,4
573edae85268b,objTwoColors,#7f00ff,8,128,135,16,4,0,4
573a059da0efd,objTwoColors,#7f00ff,0,0,0,3,1,0,4
571151812791a,objTwoColors,#7f00ff,11,244,141,30,3,0,4
5740a8b59d448,objTwoColors,#7f00ff,4,214,115,13,4,0,4
573e47c26cb8e,objTwoColors,#7f00ff,233,300,297,24,3,0,4
5756ae6897296,objTwoColors,#7f00ff,349,300,345,28,4,0,4
5740ad339507d,objTwoColors,#7f00ff,7,233,77,10,2,0,4
5713a02a13044,objTwoColors,#7f00ff,7,319,143,8,2,0,4
5756ab1701ba0,objTwoColors,#7f00ff,180,300,261,22,4,0,4
5740b0f8e9734,objTwoColors,#7f00ff,282,0,177,36,4,0,4
5739ff85289b2,objTwoColors,#7f00ff,278,0,11,26,3,0,4
574859b8f3379,objTwoColors,#7f00ff,303,256,755,58,3,0,4
572c85675a5ef,objTwoColors,#7f00ff,239,279,276,21,3,0,4
5740e3f36a945,objTwoColors,#7f00ff,279,0,202,27,3,0,4
5740b686127bb,objTwoColors,#7f00ff,211,328,172,30,4,0,4
5740a8b59d448,objTwoColors,#FF0080,7,0,22,40,5,0,5
5713a02a13044,objTwoColors,#FF0080,56,338,145,13,3,0,5
573e4022949b1,objTwoColors,#FF0080,6,0,148,53,5,0,5
5756b2d9bd658,objTwoColors,#FF0080,44,308,197,15,4,0,5
57582b17cd76a,objTwoColors,#FF0080,10,300,94,13,3,0,5
5740b0f8e9734,objTwoColors,#FF0080,329,0,78,17,4,0,5
571151812791a,objTwoColors,#FF0080,12,0,34,30,4,0,5
573a0b8280839,objTwoColors,#FF0080,40,52,33,8,3,0,5
5740bda9be3dc,objTwoColors,#FF0080,322,331,186,43,5,0,5
573edae85268b,objTwoColors,#FF0080,359,320,709,47,4,0,5
5711231e370f2,objTwoColors,#FF0080,0,302,163,10,4,0,5
5740b686127bb,objTwoColors,#FF0080,334,298,372,55,3,0,5
5757fd2703090,objTwoColors,#FF0080,332,0,328,14,2,0,5
5710ee9e58646,objTwoColors,#FF0080,353,254,371,34,2,0,5
574859b8f3379,objTwoColors,#FF0080,352,196,190,17,3,0,5
573c70dabcfe0,objTwoColors,#FF0080,68,182,549,72,3,0,5
5757ffca0b4b1,objTwoColors,#FF0080,331,0,100,12,5,0,5
57581518c2c07,objTwoColors,#FF0080,5,43,333,51,4,0,5
573c783748e8b,objTwoColors,#FF0080,351,73,244,20,3,0,5
573e4d0eb795b,objTwoColors,#FF0080,0,334,96,29,4,0,5
572767049ccfa,objTwoColors,#FF0080,338,114,2,4,3,0,5
5740e3f36a945,objTwoColors,#FF0080,4,0,3,9,2,0,5
5739ff85289b2,objTwoColors,#FF0080,113,37,8,13,2,0,5
5740ad339507d,objTwoColors,#FF0080,7,0,12,5,2,0,5
5756ae6897296,objTwoColors,#FF0080,54,300,406,31,4,0,5
5756ab1701ba0,objTwoColors,#FF0080,7,300,360,23,3,0,5
572c85675a5ef,objTwoColors,#FF0080,6,335,115,18,4,0,5
573a059da0efd,objTwoColors,#FF0080,8,0,323,51,1,0,5
573e47c26cb8e,objTwoColors,#FF0080,10,42,44,15,2,0,5
5757ffca0b4b1,objTwoColors,#FF8000,1,56,65,12,4,0,6
573e4022949b1,objTwoColors,#FF8000,24,0,53,7,5,0,6
5710ee9e58646,objTwoColors,#FF8000,4,55,311,11,5,0,6
57581518c2c07,objTwoColors,#FF8000,58,350,303,23,4,0,6
5757fd2703090,objTwoColors,#FF8000,6,59,60,14,5,0,6
5711231e370f2,objTwoColors,#FF8000,0,38,306,11,4,0,6
5756b2d9bd658,objTwoColors,#FF8000,2,59,132,13,5,0,6
571151812791a,objTwoColors,#FF8000,2,57,247,20,3,0,6
5756ae6897296,objTwoColors,#FF8000,58,44,140,25,4,0,6
5713a02a13044,objTwoColors,#FF8000,56,354,183,25,4,0,6
5756ab1701ba0,objTwoColors,#FF8000,0,20,39,9,4,0,6
572767049ccfa,objTwoColors,#FF8000,9,58,71,7,4,0,6
574859b8f3379,objTwoColors,#FF8000,8,59,78,10,5,0,6
5740e3f36a945,objTwoColors,#FF8000,29,0,30,8,3,0,6
5740bda9be3dc,objTwoColors,#FF8000,1,57,42,15,5,0,6
572c85675a5ef,objTwoColors,#FF8000,8,173,80,15,3,0,6
5740b686127bb,objTwoColors,#FF8000,3,52,192,20,5,0,6
5739ff85289b2,objTwoColors,#FF8000,168,52,531,131,1,0,6
5740b0f8e9734,objTwoColors,#FF8000,27,0,40,10,4,0,6
5740ad339507d,objTwoColors,#FF8000,5,0,24,6,3,0,6
5740a8b59d448,objTwoColors,#FF8000,3,57,60,18,5,0,6
573a059da0efd,objTwoColors,#FF8000,136,221,574,85,3,0,6
57582b17cd76a,objTwoColors,#FF8000,15,57,54,12,4,0,6
573edae85268b,objTwoColors,#FF8000,2,44,103,13,4,0,6
573a0b8280839,objTwoColors,#FF8000,52,42,44,8,3,0,6
573c70dabcfe0,objTwoColors,#FF8000,56,92,116,15,2,0,6
573e4d0eb795b,objTwoColors,#FF8000,7,0,100,52,3,0,6
573c783748e8b,objTwoColors,#FF8000,353,57,132,17,4,0,6
573e47c26cb8e,objTwoColors,#FF8000,18,47,44,10,3,0,6
573e4022949b1,objTwoColors,#0000FF,0,265,289,33,5,0,7
57582b17cd76a,objTwoColors,#0000FF,235,0,133,26,4,0,7
573a0b8280839,objTwoColors,#0000FF,0,318,49,7,3,0,7
5756b2d9bd658,objTwoColors,#0000FF,214,300,154,23,4,0,7
5740a8b59d448,objTwoColors,#0000FF,232,300,810,52,3,0,7
5739ff85289b2,objTwoColors,#0000FF,310,173,7,21,1,0,7
5740bda9be3dc,objTwoColors,#0000FF,262,227,224,26,5,0,7
5710ee9e58646,objTwoColors,#0000FF,314,202,601,54,2,0,7
57581518c2c07,objTwoColors,#0000FF,59,123,256,14,5,0,7
572c85675a5ef,objTwoColors,#0000FF,225,222,151,30,5,0,7
573e47c26cb8e,objTwoColors,#0000FF,305,230,260,28,2,0,7
5740b0f8e9734,objTwoColors,#0000FF,263,0,165,17,5,0,7
573e4d0eb795b,objTwoColors,#0000FF,263,0,180,30,4,0,7
5757ffca0b4b1,objTwoColors,#0000FF,235,0,43,8,4,0,7
572767049ccfa,objTwoColors,#0000FF,181,239,120,9,4,0,7
5756ab1701ba0,objTwoColors,#0000FF,57,113,155,13,5,0,7
5740b0f8e9734,objTwoColors,#0000FF,317,192,287,31,5,0,7
5740ad339507d,objTwoColors,#0000FF,3,204,61,9,4,0,7
5740b686127bb,objTwoColors,#0000FF,234,311,204,17,4,0,7
573c70dabcfe0,objTwoColors,#0000FF,111,63,335,32,3,0,7
573a059da0efd,objTwoColors,#0000FF,300,210,557,70,3,0,7
5740e3f36a945,objTwoColors,#0000FF,240,307,251,42,2,0,7
5713a02a13044,objTwoColors,#0000FF,199,208,611,105,3,0,7
5756ae6897296,objTwoColors,#0000FF,2,321,113,10,5,0,7
5711231e370f2,objTwoColors,#0000FF,0,206,122,6,4,0,7
574859b8f3379,objTwoColors,#0000FF,243,285,460,45,3,0,7
573edae85268b,objTwoColors,#0000FF,242,320,1074,92,3,0,7
5757fd2703090,objTwoColors,#0000FF,229,0,69,7,5,0,7
573c783748e8b,objTwoColors,#0000FF,350,216,190,15,3,0,7
571151812791a,objTwoColors,#0000FF,55,132,344,21,3,0,7
5757fd2703090,objTwoColors,#FF0000,1,0,43,5,5,0,8
