id,age,gender,num_answers,in_person,typeOfQuestion,first_color,second_color,third_color,clicks,rating,C1_name,C2_name,distance_expectedC1C2,distance_HSV,distance_LCh,distance_CMYK,distance_RGB,distance_Lab,distance_pair1,distance_pair2,distance_pair3,distance_pair4
57112ebc85ba1,18,Female,32,no,objTwoColors,#FF0080,7,0,5,4,Red      ,Red      ,0.34,0.16,0.08,0.04,0.12,0.13,0.83,0.79,0.6,0.59
57112efa50be6,19,Male,7,no,objTwoColors,#FF0080,3,0,548,5,Red      ,Red      ,0.33,0.16,0.08,0.04,0.12,0.13,0.83,0.79,0.6,0.59
5711348e42f02,19,Female,32,no,objTwoColors,#FF0080,9,184,192,4,Red      ,Blue     ,0.21,0.37,0.14,0.19,0.23,0.16,0.83,0.8,0.6,0.6
57113ce1334e0,19,Female,12,no,objTwoColors,#FF0080,8,0,36,4,Red      ,Red      ,0.34,0.16,0.08,0.04,0.12,0.13,0.83,0.79,0.6,0.59
57113d4d93c81,18,Female,32,no,objTwoColors,#FF0080,291,0,123,3,Navy-Blue,Red      ,0.74,0.04,0.22,0.08,0.05,0.05,0.42,0.38,0.36,0.37
5711703bd85fc,18,Female,32,no,objTwoColors,#FF0080,55,8,320,3,Green    ,Red      ,0.58,0.16,0.23,0.14,0.14,0.16,0.78,0.74,0.6,0.58
5712a254e00f7,18,Female,18,no,objTwoColors,#FF0080,0,340,953,1,Red      ,Red      ,0.24,0.14,0.1,0.01,0.09,0.1,0.81,0.77,0.59,0.57
5734d89183dab,19,Female,29,no,objTwoColors,#FF0080,1,226,81,4,Red      ,Blue     ,0.22,0.24,0.18,0.14,0.22,0.11,1.05,1.02,0.83,0.82
5736048bb110b,19,Male,32,no,objTwoColors,#FF0080,331,323,375,5,Magenta  ,Magenta  ,0.26,0.02,0.06,0.08,0.07,0.05,0.68,0.64,0.45,0.44
573613f4689a3,18,Male,7,no,objTwoColors,#FF0080,329,335,216,3,Magenta  ,Red      ,0.38,0.02,0.04,0.06,0.02,0.01,0.64,0.6,0.42,0.41
573634984323e,19,Male,32,no,objTwoColors,#FF0080,336,331,81,4,Red      ,Magenta  ,0.28,0.03,0.06,0.06,0.01,0,0.7,0.66,0.47,0.46
57366c199283c,19,Male,32,no,objTwoColors,#FF0080,288,55,153,2,Navy-Blue,Green    ,0.75,0.14,0.22,0.2,0.12,0.13,0.15,0.11,0.12,0.13
57427cf6bad0c,19,Female,32,no,objTwoColors,#FF0080,7,0,5,1,Red      ,Red      ,0.34,0.16,0.08,0.04,0.12,0.13,0.83,0.79,0.6,0.59
574511e99b6d9,19,Female,32,no,objTwoColors,#FF0080,352,190,620,1,Red      ,Sky-Blue ,0.2,0.34,0.13,0.19,0.22,0.15,0.85,0.82,0.62,0.62
5745350dc1e22,19,Female,31,no,objTwoColors,#FF0080,353,0,206,3,Red      ,Red      ,0.34,0.15,0.07,0.04,0.11,0.13,0.82,0.78,0.59,0.58
5745c1c07cc0c,18,Other,31,no,objTwoColors,#FF0080,1,210,100,5,Red      ,Blue     ,0.18,0.28,0.17,0.15,0.21,0.11,0.98,0.95,0.76,0.75
5745f6f039dc9,15,Male,33,no,objTwoColors,#FF0080,0,0,0,4,Red      ,Red      ,0.33,0.16,0.08,0.04,0.12,0.13,0.83,0.79,0.61,0.59
